Season,Player,Team,RAPM,O-RAPM,D-RAPM
2023,Andrea Salazar,Schreiner Mountaineers,-1.1323442377396766,-0.43083329949261084,-0.7015109382470657
2023,Josline Hernandez,Schreiner Mountaineers,-1.1324672547668126,-0.43088565020287206,-0.7015816045639406
2023,Gabby Ivarra,Schreiner Mountaineers,-1.1325043782199955,-0.4309085315357833,-0.7015958466842122
2023,Allison Schubert,College St. Mary (SD) Flames,-1.1327587116662126,-0.5991466712476002,-0.5336120404186124
2023,Allisa Schubert,College St. Mary (SD) Flames,-1.132787885671179,-0.5991646378462879,-0.5336232478248911
2023,Bailey White,College St. Mary (SD) Flames,-1.1328178027570943,-0.5991829672546816,-0.5336348355024128
2023,Clare Lewandowski,College St. Mary (SD) Flames,-1.1328484499379243,-0.5992016473209025,-0.5336468026170217
2023,Madelyn Turner,College St. Mary (SD) Flames,-1.1328798125845791,-0.5992206648767288,-0.5336591477078504
2023,Halee Smith,Lafayette Leopards,-1.1358356848001536,-0.41780924895945215,-0.7180264358407015
2023,Avery O'Connor,New Hampshire Wildcats,-1.1470089115367825,-0.7668429869398192,-0.3801659245969633
2023,Kathyann Fresse-Castillo,Florida National Conquistadors,-1.1479179342837265,-0.41263099045362,-0.7352869438301065
2023,Natalie Larranaga,Florida National Conquistadors,-1.1481252204405983,-0.4127493608508435,-0.7353758595897548
2023,Yzabelle Laualofa Tevao,Chicago State Cougars,-1.1567409478089938,-0.2947051236312147,-0.8620358241777791
2023,Devyne Newman,Loyola Maryland Greyhounds,-1.1571982088737913,0.2369410983134915,-1.3941393071872827
2023,Allison DeBerry,Park University Gilbert Buccaneers,-1.1576686262054574,-0.3784614911551842,-0.7792071350502732
2023,Ivey Portis,Agnes Scott College Scotties,-1.1580852526578824,-0.5792558850868431,-0.5788293675710393
2023,Erika McLeod,Agnes Scott College Scotties,-1.1581845982367425,-0.5793125166772599,-0.5788720815594826
2023,Ellia Chance,Agnes Scott College Scotties,-1.15822440337984,-0.5793366715825848,-0.5788877317972552
2023,Kadai Greene-Tucker,Wilberforce University Bulldogs,-1.1635658126080104,-0.656621325055028,-0.5069444875529823
2023,Keyonna Johnson,Wilberforce University Bulldogs,-1.1638082159366374,-0.6567563416258161,-0.5070518743108214
2023,Kahlani Pack,Wilberforce University Bulldogs,-1.1639646796206704,-0.6568402095867949,-0.5071244700338756
2023,Kayla Anderson,Utah Valley Wolverines,-1.1721821001321602,-0.806061331494618,-0.36612076863754206
2023,Khya Jenkins,Coppin State Eagles,-1.1726748530701787,-1.1228505402292603,-0.04982431284091843
2023,Avery Robinson,Waynesburg College Jackets,-1.1748508920957033,-0.5770346097953529,-0.5978162823003504
2023,Marley Wolf,Waynesburg College Jackets,-1.1749077796290002,-0.5770720331499813,-0.5978357464790189
2023,Anika Dansby,Waynesburg College Jackets,-1.174967538353397,-0.577111009881696,-0.597856528471701
2023,Tori Wesolowski,Waynesburg College Jackets,-1.1749693405298753,-0.5771184404426989,-0.5978509000871766
2023,Alli Bailey,Waynesburg College Jackets,-1.1750335508784504,-0.5771600555728362,-0.5978734953056142
2023,Taylor Smith,Davis & Elkins Senators,-1.180051911505656,-0.2942568912297226,-0.8857950202759334
2023,Kaylee Milburn,Davis & Elkins Senators,-1.1800779549300047,-0.29426996690813784,-0.8858079880218669
2023,Ellie Wilkerson,Davis & Elkins Senators,-1.1800872098474442,-0.29427750233125366,-0.8858097075161906
2023,Alexis Smith,Davis & Elkins Senators,-1.1801231955065337,-0.29429851132701745,-0.8858246841795162
2023,LaChazity Shaver,Davis & Elkins Senators,-1.1802095593237973,-0.2943381401382163,-0.885871419185581
2023,Lovely Sonnier,South Carolina State Lady Bulldogs,-1.1819650902806682,-0.7343322170067328,-0.4476328732739355
2023,Aaliyah Moore,St. Francis (PA) Red Flash,-1.182642335536039,-0.7348817989858312,-0.4477605365502078
2023,Filippa Goula,St. Francis (PA) Red Flash,-1.1859362728146594,-0.7369246971702269,-0.44901157564443256
2023,Kyla Hamilton,Nicholls Colonels,-1.1920684707749825,-0.5592226389976627,-0.6328458317773198
2023,Kayla Jones,Agnes Scott College Scotties,-1.1949977265820388,-0.5932843095138092,-0.6017134170682297
2023,Sydney Evans,Agnes Scott College Scotties,-1.1950300116291954,-0.593303442630867,-0.6017265689983285
2023,Haylah Spence,Agnes Scott College Scotties,-1.1950679068561263,-0.5933277044267912,-0.6017402024293351
2023,Shania Iglesias,Oswego St Lakers,-1.1952837456133807,-0.6700839550431277,-0.5251997905702531
2023,Aja Holmes,Southern Illinois Salukis,-1.1952862567620097,-0.7658881557978275,-0.4293981009641823
2023,Diamond Pickett,Oswego St Lakers,-1.19530584789702,-0.6700922301382533,-0.5252136177587667
